Doklad;"Datum vystavení";"Datum splatnosti";"Datum úhrady";"Spoleènost dodavatele";"IÈO dodavatele";"DIÈ dodavatele";"Ulice dodavatele";"Mìsto dodavatele";"PSÈ dodavatele";"Zemì dodavatele";Štítek;"Položky poèet";"Položky MJ";"Položky text";"Položky cena";"Položky %DPH";"Položky typ DPH";"ID èíselné øady";"ID pøedkontace";"ID èlenìní DPH";"Variabilní Symbol";"Konstantní Symbol";"Specifický Symbol";"Výpoèet DPH";Mìna;"Celkem bez DPH";"Celkem s DPH";Zaokrouhlení;"Celkem k úhradì"
N20250011;21.02.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;748.90;21;2;269732;;0;;;;2;CZK;618.93;748.90;0.00;748.90
N20250012;25.02.2025;;;"AUTO JAROV, s.r.o.";45789584;CZ45789584;"Osiková 2, è.p. 2688";"Praha 3";13000;"Èeská republika";;1;ks;servis;9216.69;21;2;269732;;0;;;;2;CZK;7617.10;9216.69;0.00;9216.69
N20250013;07.03.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;1590.00;21;2;269732;;0;;;;2;CZK;1314.05;1590.00;0.00;1590.00
N20250014;21.03.2025;;;"Redbit s.r.o.";24197190;CZ24197190;"Antonína Dvoøáka 612";Kolín;28002;"Èeská republika";;1;ks;;3978.00;21;2;269732;;0;;;;2;CZK;3287.60;3978.00;0.00;3978.00
N20250015;22.03.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;1434.20;21;2;269732;;0;;;;2;CZK;1185.29;1434.20;0.00;1434.20
N20250016;21.03.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;sluchatka;5990.00;21;2;269732;;0;;;;2;CZK;4950.41;5990.00;0.00;5990.00
N20250017;11.04.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;benzin;1407.70;21;2;269732;;0;;;;2;CZK;1163.39;1407.70;0.00;1407.70
N20250018;19.04.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;765.50;21;2;269732;;0;;;;2;CZK;632.64;765.50;0.00;765.50
N20250019;28.04.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;887.39;21;2;269732;;0;;;;2;CZK;733.38;887.39;0.00;887.39
N20250020;29.04.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;1341.70;21;2;269732;;0;;;;2;CZK;1108.84;1341.70;0.00;1341.70
N20250021;02.05.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1097.30;21;2;269732;;0;;;;2;CZK;906.86;1097.30;0.00;1097.30
N20250022;24.05.2025;;;"SALLY TRUCK s.r.o.";28748492;CZ28748492;"Masarykova 1192/7";Liberec;46001;"Èeská republika";;;ks;"Položka z telefonu";1511.30;21;2;269732;;0;;;;2;CZK;1249.01;1511.30;0.00;1511.30
N20250024;05.06.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;"Položka z telefonu";1576.00;21;2;269732;;0;;;;2;CZK;1302.48;1576.00;0.00;1576.00
N20250025;12.06.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;"Položka z telefonu";1303.50;21;2;269732;;0;;;;2;CZK;1077.27;1303.50;0.00;1303.50
N20250026;15.06.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;1641.30;21;2;269732;;0;;;;2;CZK;1356.45;1641.30;0.00;1641.30
